0_date,chicago,formaldate
2020-07-28,0.6874318745305633,2020-07-28
2020-07-29,0.6976050785436235,2020-07-29
2020-07-30,0.7095310031543622,2020-07-30
2020-07-31,0.7205570011520135,2020-07-31
2020-08-01,0.7083244988366273,2020-08-01
2020-08-02,0.6756479426914271,2020-08-02
2020-08-03,0.6817634776550621,2020-08-03
2020-08-04,0.6922355930762129,2020-08-04
2020-08-05,0.697362675336581,2020-08-05
2020-08-06,0.7030204203101923,2020-08-06
2020-08-07,0.7067332659012497,2020-08-07
2020-08-08,0.7181186970284301,2020-08-08
2020-08-09,0.6582511227666215,2020-08-09
2020-08-10,0.666802977261309,2020-08-10
2020-08-11,0.7123921516481773,2020-08-11
2020-08-12,0.7136470875950819,2020-08-12
2020-08-13,0.7132001867894077,2020-08-13
2020-08-14,0.7282724304393762,2020-08-14
2020-08-15,0.7233109749075272,2020-08-15
2020-08-16,0.6830779531246647,2020-08-16
2020-08-17,0.685272283592383,2020-08-17
2020-08-18,0.7017124768743236,2020-08-18
2020-08-19,0.7055255442619006,2020-08-19
2020-08-20,0.7100020324747109,2020-08-20
2020-08-21,0.7194428748338959,2020-08-21
2020-08-22,0.7292523405817941,2020-08-22
2020-08-23,0.660652608496691,2020-08-23
2020-08-24,0.6913414677714521,2020-08-24
2020-08-25,0.6810606403622407,2020-08-25
2020-08-26,0.6912601609282174,2020-08-26
2020-08-27,0.6988145776883731,2020-08-27
2020-08-28,0.7117325063452569,2020-08-28
2020-08-29,0.7216437757823914,2020-08-29
