0_date,seattle,formaldate
2020-04-05,0.4908840240293485,2020-04-05
2020-04-06,0.5364906411066995,2020-04-06
2020-04-07,0.5289141181635422,2020-04-07
2020-04-08,0.5504536603272153,2020-04-08
2020-04-09,0.5702321842434225,2020-04-09
2020-04-10,0.5777486182875753,2020-04-10
2020-04-11,0.5454563093859479,2020-04-11
2020-04-12,0.5025127277482229,2020-04-12
2020-04-13,0.5436235503908473,2020-04-13
2020-04-14,0.5612368596199011,2020-04-14
2020-04-15,0.5593329254193924,2020-04-15
2020-04-16,0.5681914809855226,2020-04-16
2020-04-17,0.5923322307477985,2020-04-17
2020-04-18,0.5450702377940955,2020-04-18
2020-04-19,0.5331395069976085,2020-04-19
2020-04-20,0.5524157576822396,2020-04-20
2020-04-21,0.5539908995279028,2020-04-21
2020-04-22,0.5439822076027518,2020-04-22
2020-04-23,0.5625698524398839,2020-04-23
2020-04-24,0.5867316042163178,2020-04-24
2020-04-25,0.5561941511744823,2020-04-25
2020-04-26,0.5453660239566899,2020-04-26
2020-04-27,0.5698480959246032,2020-04-27
2020-04-28,0.581683761334431,2020-04-28
2020-04-29,0.5845785674819332,2020-04-29
2020-04-30,0.5799269932179231,2020-04-30
2020-05-01,0.5800816256904175,2020-05-01
2020-05-02,0.5260138560132488,2020-05-02
2020-05-03,0.5052189252776491,2020-05-03
2020-05-04,0.5580132232105726,2020-05-04
2020-05-05,0.576835792722777,2020-05-05
2020-05-06,0.5590938014210638,2020-05-06
2020-05-07,0.5772769135336043,2020-05-07
2020-05-08,0.6104785644835136,2020-05-08
2020-05-09,0.6148029621925885,2020-05-09
2020-05-10,0.5853189307886256,2020-05-10
2020-05-11,0.5549699999657822,2020-05-11
2020-05-12,0.5659362968401831,2020-05-12
2020-05-13,0.5774458624359261,2020-05-13
2020-05-14,0.583186535482495,2020-05-14
2020-05-15,0.6163295069088186,2020-05-15
2020-05-16,0.5689357092305106,2020-05-16
2020-05-17,0.5503114019378741,2020-05-17
2020-05-18,0.5817839862072142,2020-05-18
2020-05-19,0.5764419960743195,2020-05-19
2020-05-20,0.5816647493623027,2020-05-20
2020-05-21,0.5864049723149469,2020-05-21
2020-05-22,0.6178990505441035,2020-05-22
2020-05-23,0.6117145934272235,2020-05-23
2020-05-24,0.5909546930173818,2020-05-24
2020-05-25,0.5431879540591452,2020-05-25
2020-05-26,0.6069602744429132,2020-05-26
2020-05-27,0.6116906029885981,2020-05-27
2020-05-28,0.6247669475253009,2020-05-28
2020-05-29,0.6342871412801625,2020-05-29
2020-05-30,0.5860413551824137,2020-05-30
2020-05-31,0.5653531810414189,2020-05-31
2020-06-01,0.6047236218252772,2020-06-01
2020-06-02,0.5926550475162036,2020-06-02
2020-06-03,0.6139561988935464,2020-06-03
2020-06-04,0.6461732561053887,2020-06-04
2020-06-05,0.6491402267937996,2020-06-05
2020-06-06,0.6191744274479549,2020-06-06
2020-06-07,0.5952246904966917,2020-06-07
2020-06-08,0.6256301818168745,2020-06-08
2020-06-09,0.6046931244600549,2020-06-09
2020-06-10,0.6295061142437977,2020-06-10
2020-06-11,0.6170943101042682,2020-06-11
2020-06-12,0.6229854139348745,2020-06-12
2020-06-13,0.6137722425120906,2020-06-13
2020-06-14,0.5985651015656704,2020-06-14
2020-06-15,0.5973117470260284,2020-06-15
2020-06-16,0.6174383816547364,2020-06-16
2020-06-17,0.6484125541221284,2020-06-17
2020-06-18,0.6560944492248214,2020-06-18
2020-06-19,0.6678744583612644,2020-06-19
2020-06-20,0.6536356976323021,2020-06-20
2020-06-21,0.6280223616409455,2020-06-21
2020-06-22,0.6560272531653214,2020-06-22
2020-06-23,0.6508362546382611,2020-06-23
2020-06-24,0.6591239313323467,2020-06-24
2020-06-25,0.6619588291029737,2020-06-25
2020-06-26,0.6714796498831327,2020-06-26
2020-06-27,0.6379831539973626,2020-06-27
2020-06-28,0.6194713332328361,2020-06-28
2020-06-29,0.6531297767974824,2020-06-29
2020-06-30,0.6575711830954679,2020-06-30
2020-07-01,0.6458273911756909,2020-07-01
2020-07-02,0.6628526524581021,2020-07-02
2020-07-03,0.6794165450959653,2020-07-03
2020-07-04,0.6698951700531109,2020-07-04
2020-07-05,0.6389366394019351,2020-07-05
2020-07-06,0.6525406049236308,2020-07-06
2020-07-07,0.645934513238879,2020-07-07
2020-07-08,0.6530267136839059,2020-07-08
2020-07-09,0.6540671181423462,2020-07-09
2020-07-10,0.6761017787224669,2020-07-10
2020-07-11,0.6570921756942718,2020-07-11
2020-07-12,0.6255292981606001,2020-07-12
2020-07-13,0.6536048720147954,2020-07-13
2020-07-14,0.6583054914975945,2020-07-14
2020-07-15,0.660389495071202,2020-07-15
2020-07-16,0.6550086746642869,2020-07-16
2020-07-17,0.6640366769262316,2020-07-17
2020-07-18,0.6602682513008657,2020-07-18
2020-07-19,0.6345265162902067,2020-07-19
2020-07-20,0.6568021523344325,2020-07-20
2020-07-21,0.6574202073210723,2020-07-21
2020-07-22,0.666075327748411,2020-07-22
2020-07-23,0.6647380436919932,2020-07-23
2020-07-24,0.6723503926514971,2020-07-24
2020-07-25,0.6748265022829523,2020-07-25
2020-07-26,0.6333352214428835,2020-07-26
2020-07-27,0.6565611588604671,2020-07-27
2020-07-28,0.6733990176877119,2020-07-28
2020-07-29,0.6835526544796371,2020-07-29
2020-07-30,0.6775988670615005,2020-07-30
2020-07-31,0.7009901109599578,2020-07-31
2020-08-01,0.6888278214190783,2020-08-01
2020-08-02,0.6505775726054079,2020-08-02
2020-08-03,0.6663853005840192,2020-08-03
2020-08-04,0.6742636558038829,2020-08-04
2020-08-05,0.6639841187237112,2020-08-05
2020-08-06,0.6504102510656128,2020-08-06
2020-08-07,0.6884076177178912,2020-08-07
2020-08-08,0.6803718123685158,2020-08-08
2020-08-09,0.6422392578263826,2020-08-09
2020-08-10,0.6652231503756129,2020-08-10
2020-08-11,0.6673141524698066,2020-08-11
2020-08-12,0.6739756472813361,2020-08-12
2020-08-13,0.6768172943908418,2020-08-13
2020-08-14,0.7038799532292328,2020-08-14
2020-08-15,0.6978054191839901,2020-08-15
2020-08-16,0.6505363811512234,2020-08-16
2020-08-17,0.6669700717072811,2020-08-17
2020-08-18,0.6794094544179686,2020-08-18
2020-08-19,0.6707212113094708,2020-08-19
2020-08-20,0.6826355442458877,2020-08-20
2020-08-21,0.6883758197134066,2020-08-21
2020-08-22,0.6938149668985343,2020-08-22
2020-08-23,0.6651276561154118,2020-08-23
2020-08-24,0.6731439226721175,2020-08-24
2020-08-25,0.6869406903620161,2020-08-25
2020-08-26,0.6839899062069088,2020-08-26
2020-08-27,0.6904608779373166,2020-08-27
2020-08-28,0.7065507503372985,2020-08-28
